evaluation_title,transform,severity,reference_model_id,reference_model_title,candidate_model_id,candidate_model_title,difference_direction,reference_accuracy,candidate_accuracy,candidate_minus_reference_accuracy,reference_drop_from_clean,candidate_drop_from_clean,model_a_id,model_b_id,model_a_accuracy,model_b_accuracy,b_minus_a_accuracy,model_a_drop_from_clean,model_b_drop_from_clean,better_model,higher_accuracy_model,sid_a_clean__num_samples,sid_b_robust__num_samples,sid_a_clean__threshold,sid_b_robust__threshold,sid_a_clean__true_negatives,sid_b_robust__true_negatives,sid_b_robust_minus_sid_a_clean__true_negatives,sid_a_clean__false_positives,sid_b_robust__false_positives,sid_b_robust_minus_sid_a_clean__false_positives,sid_a_clean__false_negatives,sid_b_robust__false_negatives,sid_b_robust_minus_sid_a_clean__false_negatives,sid_a_clean__true_positives,sid_b_robust__true_positives,sid_b_robust_minus_sid_a_clean__true_positives,sid_a_clean__accuracy,sid_b_robust__accuracy,sid_b_robust_minus_sid_a_clean__accuracy,sid_a_clean__balanced_accuracy,sid_b_robust__balanced_accuracy,sid_b_robust_minus_sid_a_clean__balanced_accuracy,sid_a_clean__precision,sid_b_robust__precision,sid_b_robust_minus_sid_a_clean__precision,sid_a_clean__recall,sid_b_robust__recall,sid_b_robust_minus_sid_a_clean__recall,sid_a_clean__f1,sid_b_robust__f1,sid_b_robust_minus_sid_a_clean__f1,sid_a_clean__auroc,sid_b_robust__auroc,sid_b_robust_minus_sid_a_clean__auroc,sid_a_clean__auprc,sid_b_robust__auprc,sid_b_robust_minus_sid_a_clean__auprc,sid_a_clean__false_positive_rate,sid_b_robust__false_positive_rate,sid_b_robust_minus_sid_a_clean__false_positive_rate,sid_a_clean__false_negative_rate,sid_b_robust__false_negative_rate,sid_b_robust_minus_sid_a_clean__false_negative_rate,sid_a_clean__brier_score,sid_b_robust__brier_score,sid_b_robust_minus_sid_a_clean__brier_score,model_a_title,model_b_title
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,clean,,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.998627181800353,0.9978427142576975,-0.000784467542655487,0.0,0.0,sid_a_clean,sid_b_robust,0.998627181800353,0.9978427142576975,-0.000784467542655487,0.0,0.0,sid_a_clean,sid_a_clean,5099,5099,0.5,0.5,2592,2587,-5.0,4,9,5.0,3,2,-1.0,2500,2501,1.0,0.998627181800353,0.9978427142576975,-0.000784467542655487,0.9986303031123822,0.9978670433692205,-0.000763259743161715,0.9984025559105432,0.996414342629482,-0.0019882132810611353,0.9988014382740711,0.9992009588493808,0.00039952057530967533,0.9986019572598362,0.997805705166567,-0.0007962520932692785,0.9999803009885826,0.9999333619379395,-4.6939050643124425e-05,0.9999798815568772,0.9999356572371612,-4.422431971606855e-05,0.0015408320493066256,0.0034668721109399076,0.001926040061633282,0.0011985617259288853,0.0007990411506192569,-0.0003995205753096284,0.001290589286212809,0.001762657628052634,0.00047206834183982486,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,jpeg,90.0,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9988232986860168,0.9978427142576975,-0.0009805844283192755,-0.0001961168856637885,0.0,sid_a_clean,sid_b_robust,0.9988232986860168,0.9978427142576975,-0.0009805844283192755,-0.0001961168856637885,0.0,sid_a_clean,sid_a_clean,5099,5099,0.5,0.5,2593,2587,-6.0,3,9,6.0,3,2,-1.0,2500,2501,1.0,0.9988232986860168,0.9978427142576975,-0.0009805844283192755,0.9988229071185455,0.9978670433692205,-0.0009558637493249922,0.9988014382740711,0.996414342629482,-0.0023870956445890545,0.9988014382740711,0.9992009588493808,0.00039952057530967533,0.9988014382740711,0.997805705166567,-0.0009957331075041154,0.9999776847136287,0.9999345931261531,-4.309158747561881e-05,0.9999772882255449,0.9999360969346841,-4.1191290860775887e-05,0.0011556240369799693,0.0034668721109399076,0.002311248073959938,0.0011985617259288853,0.0007990411506192569,-0.0003995205753096284,0.0013453252341738976,0.0017609463922677426,0.000415621158093845,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,jpeg,70.0,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9980388311433614,0.9974504804863699,-0.0005883506569915875,0.0005883506569915875,0.000392233771327688,sid_a_clean,sid_b_robust,0.9980388311433614,0.9974504804863699,-0.0005883506569915875,0.0005883506569915875,0.000392233771327688,sid_a_clean,sid_a_clean,5099,5099,0.5,0.5,2594,2589,-5.0,2,7,5.0,8,6,-2.0,2495,2497,2.0,0.9980388311433614,0.9974504804863699,-0.0005883506569915875,0.9980167096864347,0.9974532102309279,-0.0005634994555068218,0.999199038846616,0.9972044728434505,-0.001994566003165499,0.9968038353975229,0.9976028765481423,0.0007990411506193507,0.998,0.9974036349111244,-0.0005963650888756167,0.9999646033388593,0.9998978113782722,-6.679196058712034e-05,0.9999643982735844,0.9999013481586896,-6.305011489482482e-05,0.0007704160246533128,0.002696456086286595,0.0019260400616332822,0.0031961646024770275,0.0023971234518577705,-0.000799041150619257,0.0017268278876202202,0.0018451239272425084,0.00011829603962228825,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,jpeg,50.0,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9872524024318494,0.9974504804863699,0.010198078054520443,0.011374779368503618,0.000392233771327688,sid_a_clean,sid_b_robust,0.9872524024318494,0.9974504804863699,0.010198078054520443,0.011374779368503618,0.000392233771327688,sid_b_robust,sid_b_robust,5099,5099,0.5,0.5,2596,2590,-6.0,0,6,6.0,65,7,-58.0,2438,2496,58.0,0.9872524024318494,0.9974504804863699,0.010198078054520443,0.987015581302437,0.9974460539494363,0.010430472646999256,1.0,0.9976019184652278,-0.0023980815347721673,0.9740311626048741,0.9972033559728326,0.023172193367958505,0.9868447682655332,0.9974025974025974,0.010557829137064156,0.9999376710966871,0.9998690323537796,-6.863874290752303e-05,0.9999377440392663,0.9998706887912524,-6.705524801386975e-05,0.0,0.0023112480739599386,0.0023112480739599386,0.02596883739512585,0.002796644027167399,-0.023172193367958453,0.009997692918936613,0.0020929638016302676,-0.007904729117306346,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,jpeg,30.0,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9635222592665228,0.9974504804863699,0.033928221219847066,0.03510492253383024,0.000392233771327688,sid_a_clean,sid_b_robust,0.9635222592665228,0.9974504804863699,0.033928221219847066,0.03510492253383024,0.000392233771327688,sid_b_robust,sid_b_robust,5099,5099,0.5,0.5,2596,2594,-2.0,0,2,2.0,186,11,-175.0,2317,2492,175.0,0.9635222592665228,0.9974504804863699,0.033928221219847066,0.9628445864962045,0.9974174288234704,0.034572842327265874,1.0,0.9991980753809142,-0.000801924619085792,0.9256891729924092,0.9956052736715941,0.06991610067918497,0.9614107883817428,0.9973984390634381,0.03598765068169529,0.9998062417548864,0.99993567041584,0.00012942866095355665,0.999806503844989,0.999934781900898,0.00012827805590898134,0.0,0.0007704160246533128,0.0007704160246533128,0.0743108270075909,0.0043947263284059125,-0.06991610067918498,0.02675022055613888,0.0023451330584615825,-0.024405087497677298,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,blur,0.5,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9990194155716807,0.9980388311433614,-0.0009805844283192755,-0.000392233771327688,-0.0001961168856638995,sid_a_clean,sid_b_robust,0.9990194155716807,0.9980388311433614,-0.0009805844283192755,-0.000392233771327688,-0.0001961168856638995,sid_a_clean,sid_a_clean,5099,5099,0.5,0.5,2594,2588,-6.0,2,8,6.0,3,2,-1.0,2500,2501,1.0,0.9990194155716807,0.9980388311433614,-0.0009805844283192755,0.9990155111247089,0.9980596473753838,-0.0009558637493251032,0.9992006394884093,0.9968114786767637,-0.002389160811645641,0.9988014382740711,0.9992009588493808,0.00039952057530967533,0.999000999000999,0.9980047885075818,-0.0009962104934172489,0.9999829172635365,0.9999359782128934,-4.6939050643124425e-05,0.9999825089779117,0.9999379425889022,-4.456638900951493e-05,0.0007704160246533128,0.0030816640986132513,0.0023112480739599386,0.0011985617259288853,0.0007990411506192569,-0.0003995205753096284,0.0011812526195966696,0.0016860767313813634,0.0005048241117846938,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,blur,1.0,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9990194155716807,0.9982349480290253,-0.000784467542655376,-0.000392233771327688,-0.000392233771327799,sid_a_clean,sid_b_robust,0.9990194155716807,0.9982349480290253,-0.000784467542655376,-0.000392233771327688,-0.000392233771327799,sid_a_clean,sid_a_clean,5099,5099,0.5,0.5,2594,2590,-4.0,2,6,4.0,3,3,0.0,2500,2500,0.0,0.9990194155716807,0.9982349480290253,-0.000784467542655376,0.9990155111247089,0.9982450951000555,-0.0007704160246533309,0.9992006394884093,0.9976057462090981,-0.0015948932793111714,0.9988014382740711,0.9988014382740711,0.0,0.999000999000999,0.9982032341784788,-0.0007977648225202527,0.9999844562488035,0.9999429036465948,-4.1552602208727585e-05,0.9999839871913756,0.999944330702937,-3.9656488438621906e-05,0.0007704160246533128,0.0023112480739599386,0.0015408320493066258,0.0011985617259288853,0.0011985617259288853,0.0,0.0011986812038660374,0.001550396511340086,0.00035171530747404867,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,blur,2.0,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9968621298293783,0.9976465973720338,0.000784467542655487,0.0017650519709747625,0.0001961168856637885,sid_a_clean,sid_b_robust,0.9968621298293783,0.9976465973720338,0.000784467542655487,0.0017650519709747625,0.0001961168856637885,sid_b_robust,sid_b_robust,5099,5099,0.5,0.5,2593,2588,-5.0,3,8,5.0,13,4,-9.0,2490,2499,9.0,0.9968621298293783,0.9976465973720338,0.000784467542655487,0.9968253042419974,0.9976601268000742,0.0008348225580767643,0.9987966305655837,0.9968089349820503,-0.0019876955835334,0.9948062325209748,0.9984019176987615,0.003595685177786745,0.9967974379503602,0.9976047904191617,0.000807352468801481,0.9999555233257841,0.9999281293880318,-2.7393937752306918e-05,0.9999538315259399,0.9999298850124565,-2.394651348336385e-05,0.0011556240369799693,0.0030816640986132513,0.001926040061633282,0.0051937674790251695,0.0015980823012385138,-0.0035956851777866556,0.002672791268576298,0.0019507573953829959,-0.0007220338731933019,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,resize,0.5,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9988232986860168,0.9982349480290253,-0.0005883506569914765,-0.0001961168856637885,-0.000392233771327799,sid_a_clean,sid_b_robust,0.9988232986860168,0.9982349480290253,-0.0005883506569914765,-0.0001961168856637885,-0.000392233771327799,sid_a_clean,sid_a_clean,5099,5099,0.5,0.5,2594,2589,-5.0,2,7,5.0,4,2,-2.0,2499,2501,2.0,0.9988232986860168,0.9982349480290253,-0.0005883506569914765,0.9988157508370541,0.998252251381547,-0.0005634994555070438,0.9992003198720512,0.9972089314194578,-0.00199138845259339,0.9984019176987615,0.9992009588493808,0.0007990411506192396,0.9988009592326139,0.9982039513071244,-0.0005970079254895566,0.9999852257414369,0.9999353626187866,-4.986312265031767e-05,0.9999848364500636,0.9999379516964838,-4.688475357983446e-05,0.0007704160246533128,0.002696456086286595,0.0019260400616332822,0.0015980823012385138,0.0007990411506192569,-0.0007990411506192569,0.001122811001012123,0.0016117284065670166,0.0004889174055548937,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
Single-transform robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,resize,0.25,sid_a_clean,SID A — EfficientNet clean training,sid_b_robust,SID B — EfficientNet robustness training,sid_b_robust minus sid_a_clean,0.9970582467150422,0.9976465973720338,0.0005883506569915875,0.001568935085310863,0.0001961168856637885,sid_a_clean,sid_b_robust,0.9970582467150422,0.9976465973720338,0.0005883506569915875,0.001568935085310863,0.0001961168856637885,sid_b_robust,sid_b_robust,5099,5099,0.5,0.5,2593,2588,-5.0,3,8,5.0,12,4,-8.0,2491,2499,8.0,0.9970582467150422,0.9976465973720338,0.0005883506569915875,0.9970250645296522,0.9976601268000742,0.0006350622704219822,0.9987971130713713,0.9968089349820503,-0.0019881780893210577,0.9952057530962845,0.9984019176987615,0.0031961646024770696,0.9969981989193516,0.9976047904191617,0.0006065914998101274,0.9999656806285462,0.9999156636073692,-5.0017021177017895e-05,0.9999644151098042,0.9999185136005582,-4.5901509245993566e-05,0.0011556240369799693,0.0030816640986132513,0.001926040061633282,0.004794246903715541,0.0015980823012385138,-0.003196164602477027,0.00234414882411852,0.0019894366252441354,-0.0003547121988743845,SID A — EfficientNet clean training,SID B — EfficientNet robustness training
